Jahr;Monat;Monatname;COICOP10;Produkt;VPI
2020;MONAT01;Januar;CC13-0111101100;Reis;99.6
2020;MONAT01;Januar;CC13-0111109100;Reiszubereitung;100
2020;MONAT01;Januar;CC13-0111201100;Weizenmehl;100.9
2020;MONAT01;Januar;CC13-0111203100;Grieß, Roggenmehl oder Ähnliches;101.3
2020;MONAT01;Januar;CC13-0111311100;Weißbrot;101
2020;MONAT01;Januar;CC13-0111312100;Roggenbrot oder Mischbrot;99.8
2020;MONAT01;Januar;CC13-0111313200;Körnerbrot oder Vollkornbrot;99.8
2020;MONAT01;Januar;CC13-0111320200;Brötchen zum Fertigbacken;100.3
2020;MONAT01;Januar;CC13-0111320300;Frisches Brötchen;100.4
2020;MONAT01;Januar;CC13-0111410200;Hefegebäck;99.3
2020;MONAT01;Januar;CC13-0111423100;Kuchen oder Torte, tiefgefroren;100.7
2020;MONAT01;Januar;CC13-0111424300;Kuchen, Torte oder Tortenboden, frisch;99.7
2020;MONAT01;Januar;CC13-0111431200;Kekse;101.2
2020;MONAT01;Januar;CC13-0111433100;Muffins, Waffeln oder andere Dauerbackwaren;100.9
2020;MONAT01;Januar;CC13-0111442100;Knäckebrot oder Zwieback;99.4
2020;MONAT01;Januar;CC13-0111444200;Toastbrot;100.8
2020;MONAT01;Januar;CC13-0111450100;Salzgebäck;102.4
2020;MONAT01;Januar;CC13-0111500100;Pizza, Quiches oder Ähnliches;99.9
2020;MONAT01;Januar;CC13-0111610100;Nudeln;101.5
2020;MONAT01;Januar;CC13-0111621200;Nudelfertiggericht;99.6
2020;MONAT01;Januar;CC13-0111701100;Haferflocken;100.2
2020;MONAT01;Januar;CC13-0111703100;Cornflakes, Müsli oder Ähnliches;99.9
2020;MONAT01;Januar;CC13-0111801100;Backmischung für Kuchen;100.8
2020;MONAT01;Januar;CC13-0111809100;Getreideprodukt, vegetarisch oder vegan;102.3
2020;MONAT01;Januar;CC13-0112101100;Rindfleisch zum Kochen;99.6
2020;MONAT01;Januar;CC13-0112107100;Rinderroulade oder Rinderlende;100.8
2020;MONAT01;Januar;CC13-0112107200;Rindfleisch zum Schmoren oder Braten;99.3
2020;MONAT01;Januar;CC13-0112107300;Rinderhackfleisch;97.6
2020;MONAT01;Januar;CC13-0112109100;Kalbfleisch;99.8
2020;MONAT01;Januar;CC13-0112200100;Kasseler oder anderes Schweinefleisch;97.4
2020;MONAT01;Januar;CC13-0112200200;Schweinehackfleisch, auch gemischt;98.1
2020;MONAT01;Januar;CC13-0112200300;Schweinebraten;97.3
2020;MONAT01;Januar;CC13-0112200500;Schweinekotelett oder Schweineschnitzel;96.3
2020;MONAT01;Januar;CC13-0112300100;Lammfleisch;100.2
2020;MONAT01;Januar;CC13-0112410100;Frisches Geflügelfleisch;100.5
